iter	Passed	Remaining
1551	11499	62596
1552	11507	62591
1553	11516	62592
1554	11524	62585
1555	11530	62570
1556	11537	62564
1557	11545	62557
1558	11552	62549
1559	11560	62542
1560	11567	62536
1561	11574	62523
1562	11581	62518
1563	11589	62512
1564	11597	62506
1565	11604	62497
1566	11611	62488
1567	11618	62477
1568	11624	62466
1569	11631	62452
1570	11637	62441
1571	11644	62431
1572	11651	62422
1573	11658	62412
1574	11665	62402
1575	11673	62395
1576	11681	62391
1577	11689	62386
1578	11697	62383
1579	11705	62381
1580	11713	62375
1581	11721	62372
1582	11729	62368
1583	11737	62361
1584	11743	62350
1585	11751	62344
1586	11759	62337
1587	11766	62327
1588	11773	62318
1589	11780	62310
1590	11788	62304
1591	11795	62294
1592	11803	62290
1593	11809	62279
1594	11817	62272
1595	11823	62259
1596	11831	62253
1597	11838	62245
1598	11845	62235
1599	11852	62226
1600	11859	62216
1601	11879	62273
1602	11887	62269
1603	11895	62266
1604	11903	62263
1605	11912	62264
1606	11920	62258
1607	11928	62251
1608	11936	62247
1609	11943	62238
1610	11950	62230
1611	11957	62219
1612	11964	62212
1613	11972	62205
1614	11978	62191
1615	11985	62182
1616	11992	62172
1617	12001	62171
1618	12008	62163
1619	12015	62155
1620	12022	62144
1621	12029	62135
1622	12037	62129
1623	12044	62120
1624	12051	62111
1625	12057	62098
1626	12064	62085
1627	12070	62073
1628	12078	62066
1629	12086	62061
1630	12093	62055
1631	12103	62061
1632	12111	62053
1633	12120	62054
1634	12125	62039
1635	12134	62035
1636	12141	62026
1637	12148	62019
1638	12155	62006
1639	12162	61999
1640	12169	61990
1641	12176	61978
1642	12183	61968
1643	12189	61955
1644	12197	61949
1645	12205	61945
1646	12213	61941
1647	12220	61934
1648	12228	61927
1649	12234	61915
1650	12241	61906
1651	12249	61901
1652	12256	61891
1653	12263	61881
1654	12270	61871
1655	12278	61866
1656	12285	61857
1657	12294	61857
1658	12303	61857
1659	12312	61858
1660	12319	61850
1661	12326	61842
1662	12333	61833
1663	12340	61820
1664	12347	61811
1665	12354	61802
1666	12361	61793
1667	12368	61785
1668	12376	61779
1669	12383	61771
1670	12390	61758
1671	12398	61752
1672	12405	61744
1673	12414	61745
