"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","文京区","音羽一丁目","","28","9","-32064.7","-9239.7","35.710943","139.731217","1","1","0","0"
"東京都","文京区","音羽一丁目","","2","9","-31956.9","-9220.6","35.711915","139.731427","1","1","0","0"
"東京都","文京区","音羽一丁目","","2","9","-31997.7","-9205.6","35.711547","139.731594","1","0","0","0"
"東京都","文京区","大塚二丁目","","16","9","-30936.7","-9182.4","35.721111","139.731838","1","1","0","0"
"東京都","文京区","小日向二丁目","","31","9","-31636.8","-9142.8","35.714801","139.732283","1","1","0","0"
"東京都","文京区","小日向二丁目","","30","9","-31670.2","-9147.5","35.714500","139.732232","1","1","0","0"
"東京都","文京区","音羽一丁目","","1","9","-32044.6","-9188.1","35.711125","139.731787","1","1","0","0"
"東京都","文京区","小日向二丁目","","28","9","-31736.4","-9144.7","35.713903","139.732264","1","1","0","0"
"東京都","文京区","小日向二丁目","","27","9","-31770.7","-9145.0","35.713594","139.732261","1","1","0","0"
"東京都","文京区","小日向二丁目","","26","9","-31805.1","-9143.1","35.713284","139.732282","1","1","0","0"
"東京都","文京区","水道二丁目","","9","9","-32114.7","-9133.3","35.710493","139.732394","1","1","0","0"
"東京都","文京区","関口一丁目","","10","9","-32222.2","-9190.3","35.709524","139.731765","1","1","0","0"
"東京都","文京区","関口一丁目","","21","9","-32195.4","-9131.8","35.709766","139.732412","1","1","0","0"
"東京都","文京区","関口一丁目","","7","9","-32336.6","-9187.7","35.708493","139.731795","1","1","0","0"
"東京都","文京区","関口一丁目","","6","9","-32376.6","-9170.6","35.708132","139.731985","1","1","0","0"
"東京都","文京区","関口一丁目","","8","9","-32301.6","-9184.2","35.708808","139.731834","1","1","0","0"
"東京都","文京区","大塚四丁目","","47","9","-30668.6","-9152.5","35.723528","139.732165","1","1","0","0"
"東京都","文京区","関口一丁目","","10","9","-32256.1","-9133.4","35.709219","139.732394","1","0","0","0"
"東京都","文京区","大塚三丁目","","9","9","-30917.4","-9143.1","35.721285","139.732272","1","1","0","0"
"東京都","文京区","関口一丁目","","7","9","-32337.4","-9165.1","35.708486","139.732045","1","0","0","0"
"東京都","文京区","関口一丁目","","8","9","-32301.5","-9164.8","35.708809","139.732048","1","0","0","0"
"東京都","文京区","大塚二丁目","","17","9","-31006.9","-9126.4","35.720479","139.732458","1","1","0","0"
"東京都","文京区","小日向二丁目","","24","9","-31893.9","-9099.2","35.712484","139.732768","1","1","0","0"
"東京都","文京区","関口一丁目","","5","9","-32407.9","-9139.2","35.707850","139.732332","1","1","0","0"
"東京都","文京区","関口一丁目","","9","9","-32326.1","-9134.4","35.708588","139.732384","1","1","0","0"
"東京都","文京区","小日向二丁目","","23","9","-31942.5","-9078.5","35.712046","139.732998","1","1","0","0"
"東京都","文京区","関口一丁目","","5","9","-32377.4","-9136.1","35.708125","139.732366","1","0","0","0"
"東京都","文京区","大塚四丁目","","44","9","-30781.8","-9114.2","35.722508","139.732590","1","1","0","0"
"東京都","文京区","水道二丁目","","10","9","-32083.0","-9092.9","35.710779","139.732840","1","1","0","0"
"東京都","文京区","大塚三丁目","","8","9","-30978.3","-9080.3","35.720737","139.732967","1","1","0","0"
"東京都","文京区","大塚四丁目","","42","9","-30834.2","-9069.6","35.722036","139.733084","1","1","0","0"
"東京都","文京区","大塚四丁目","","43","9","-30716.3","-9081.5","35.723098","139.732951","1","1","0","0"
"東京都","文京区","大塚四丁目","","21","9","-30533.0","-9058.9","35.724751","139.733198","1","1","0","0"
"東京都","文京区","大塚三丁目","","10","9","-30907.7","-9095.3","35.721373","139.732800","1","1","0","0"
